Country,DataType,01-20,02-20,03-20,04-20,05-20,06-20,07-20,08-20,09-20,10-20,11-20,12-20,01-21,02-21,03-21,04-21,05-21,06-21,07-21,08-21,09-21,10-21,11-21,12-21
Afghanistan,Cases,0,5,161,1635,13009,15609,4780,1452,1072,1963,4790,5832,2510,655,721,3228,11899,45682,26938,5719,1792,1019,1132,770
Afghanistan,Death,0,0,4,56,190,470,497,119,52,71,227,415,199,39,40,136,313,1898,1746,381,81,66,28,48
Albania,Cases,0,0,205,496,363,1430,2617,4104,4005,6985,16750,19545,18935,28088,17556,5820,1224,199,515,12252,23075,14756,14450,9571
Albania,Death,0,0,12,16,2,30,89,123,100,115,289,364,188,395,431,154,56,5,1,38,187,218,168,119
Algeria,Cases,0,5,506,3264,5261,4177,15924,13752,6874,5802,23561,16112,7512,5621,3969,4674,6617,10216,29042,24182,7118,2999,3892,7506
Algeria,Death,0,0,31,409,196,252,288,291,216,213,437,320,132,88,106,151,212,236,473,986,536,106,144,200
American Samoa,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1
American Samoa,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,Cases,0,0,376,348,18,91,67,199,790,2615,1956,1238,1836,912,1078,1188,461,173,767,354,176,294,1599,5937
Andorra,Death,0,0,12,29,9,1,0,1,0,22,1,8,17,9,5,10,2,0,1,2,0,0,1,9
Angola,Cases,0,0,7,20,57,190,825,1515,2251,5586,4298,2232,2229,986,1375,4120,7714,4131,3797,4554,9039,7791,722,11619
Angola,Death,0,0,1,0,2,7,38,56,71,96,62,51,59,40,28,57,168,128,108,199,320,171,23,24
Anguilla,Cases,0,0,2,1,0,0,0,0,0,0,3,7,4,1,7,66,16,0,5,103,172,483,390,288
Anguilla,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
Antigua and Barbuda,Cases,0,0,7,17,1,40,25,3,7,26,14,17,59,506,410,88,33,3,40,410,1445,809,83,154
Antigua and Barbuda,Death,0,0,0,3,0,0,0,0,0,0,1,1,2,7,14,4,10,0,1,1,32,23,15,1
Argentina,Cases,0,0,820,3235,10398,43719,116728,215866,314706,407191,256196,183356,301434,181933,215246,596125,777320,670027,458224,254123,74876,31357,37641,227823
Argentina,Death,0,0,20,183,295,715,2028,4935,7615,13923,7530,4545,4612,4015,3646,7211,13600,15686,11445,5797,3431,763,579,557
Armenia,Cases,0,0,532,1495,7134,16050,12485,4940,6481,38963,42870,23442,7288,4970,20423,22328,6074,2317,4889,11796,18947,45695,29121,5910
Armenia,Death,0,0,3,29,98,304,285,130,78,378,801,630,252,108,320,575,310,69,97,225,462,989,1188,362
Aruba,Cases,0,0,50,45,1,0,16,1728,1875,538,319,535,1416,946,1490,1211,349,154,449,2881,940,410,442,2686
Aruba,Death,0,0,0,2,1,0,0,5,15,11,8,4,9,13,11,13,9,0,2,28,27,5,3,7
Australia,Cases,9,16,4334,2039,423,572,8469,8765,1317,504,303,477,398,154,326,475,297,456,3299,18467,48875,64144,38716,152344
Australia,Death,0,0,17,70,10,2,85,415,230,21,0,1,0,0,0,1,0,0,13,79,272,433,263,220
Austria,Cases,0,3,9259,5467,1146,988,3194,6068,16879,56477,171307,75163,50502,42255,82439,71134,26031,5887,8198,27818,53771,82630,320202,115060
Austria,Death,0,0,134,469,66,37,14,14,57,354,2309,2681,1439,690,704,796,349,83,20,53,222,304,1115,960
Azerbaijan,Cases,0,1,187,1444,3223,11178,14253,4614,3752,13033,59851,98389,12299,3923,25209,56200,14755,2005,7169,77254,58237,45207,55270,28034
Azerbaijan,Death,0,0,4,18,35,137,232,88,57,118,605,1214,510,87,320,923,390,60,48,569,877,524,759,490
Bahamas,Cases,0,0,14,66,21,3,380,1627,1736,2622,859,340,303,359,568,1248,1343,737,1978,3299,2845,1252,377,1478
Bahamas,Death,0,0,0,11,0,0,0,29,48,47,21,7,6,4,8,10,31,16,40,94,150,110,28,45
Bahrain,Cases,0,44,523,2352,7753,14841,13997,10592,18450,10602,5142,5469,9951,18721,21179,31307,61223,25111,3253,3267,2441,1737,799,3716
Bahrain,Death,0,0,4,4,9,65,59,42,56,68,20,11,20,69,68,118,307,371,32,4,1,4,1,0
Bangladesh,Cases,0,0,51,7613,38915,95949,88403,73136,48533,42697,55680,46285,20639,10634,64494,141368,39956,110953,327925,236290,52231,12781,6531,8973
Bangladesh,Death,0,0,5,162,480,1175,1223,1149,935,651,703,884,551,271,630,2345,1109,1843,6039,5279,1236,337,111,89
Barbados,Cases,0,0,33,47,12,5,13,63,17,46,39,96,1126,1449,596,196,157,62,284,552,3013,9285,7275,3158
Barbados,Death,0,0,0,6,0,0,0,0,0,0,0,0,5,21,8,2,3,0,1,0,19,83,72,31
Belarus,Cases,0,1,151,12989,27631,19234,5690,3879,6417,18868,35549,55714,52286,37623,33288,35426,35069,21836,27859,34324,54565,60046,53155,42882
Belarus,Death,0,0,0,82,140,152,167,117,147,144,166,256,284,248,261,285,299,281,302,314,349,471,436,480
Belgium,Cases,0,1,15295,32962,8390,2920,7606,15122,36514,319337,128854,64814,59210,58717,112362,101609,67273,18877,38771,57540,57528,133551,395588,319734
Belgium,Death,0,0,1210,6397,1534,273,76,193,126,1676,4952,2680,1531,942,782,1171,695,199,67,133,214,421,968,1153
Belize,Cases,0,0,3,15,0,6,24,916,898,1439,2185,4925,1153,385,122,187,145,398,887,1849,4075,6230,3367,1729
Belize,Death,0,0,0,2,0,0,0,11,11,30,86,94,59,13,3,6,1,5,8,19,49,82,79,23
Benin,Cases,0,0,6,60,148,955,606,340,212,286,331,236,535,1741,1466,508,237,141,195,4972,10524,859,101,72
Benin,Death,0,0,0,2,1,16,15,4,1,0,2,1,4,18,20,6,2,3,4,20,31,2,0,0
Bermuda,Cases,0,0,22,84,29,6,10,13,12,18,52,335,87,14,431,1217,109,23,39,276,2256,403,83,583
Bermuda,Death,0,0,0,6,3,0,0,0,0,0,0,1,2,0,0,12,5,1,0,0,29,29,5,0
Bhutan,Cases,0,0,4,3,36,30,25,123,55,66,47,260,170,8,6,188,514,468,411,78,5,20,19,20
Bhutan,Death,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Bolivia (Plurinational State of),Cases,0,0,97,946,7621,21932,41409,40120,18255,6843,2961,12265,55020,32494,21800,30412,62982,67094,34335,17243,9181,13022,22888,54214
Bolivia (Plurinational State of),Death,0,0,5,49,241,704,1737,2044,2934,774,234,183,1077,1279,583,681,1484,2160,1082,605,287,198,236,479
Bonaire,Cases,0,0,0,2,0,0,3,2,91,31,8,19,197,44,909,188,54,32,56,75,275,325,475,431
Bonaire,Death,0,0,0,0,0,0,0,0,1,2,0,0,0,1,6,6,1,0,0,0,2,0,3,1
Bosnia and Herzegovina,Cases,0,0,406,1220,737,1815,6991,8349,7262,20668,37184,23084,10249,9604,35516,28240,5517,992,633,7657,19922,18982,20173,15406
Bosnia and Herzegovina,Death,0,0,12,52,84,31,142,270,234,356,1386,1369,624,383,1405,1913,682,410,40,103,771,922,1000,842
Botswana,Cases,0,0,0,20,12,137,577,829,1448,3470,3350,4033,7268,7077,11478,7086,9379,12555,36619,50237,21123,7374,8474,17414
Botswana,Death,0,0,0,1,0,0,1,4,10,8,7,9,94,176,258,144,119,276,444,692,106,38,12,21
Brazil,Cases,0,5,4250,67307,387004,845703,1184070,1236051,883153,716854,773614,1248811,1499313,1278655,2056383,1863180,1880922,1933282,1326064,861542,629509,393855,276812,179085
Brazil,Death,0,0,136,4858,22412,28788,31820,29199,21230,16048,13084,19848,28791,28890,59645,80539,59871,52161,38512,23848,15872,11340,6584,4441
British Virgin Islands,Cases,0,0,2,3,2,0,0,29,24,1,1,20,48,12,1,40,95,9,2187,68,108,49,48,447
British Virgin Islands,Death,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,1,1
Brunei Darussalam,Cases,0,0,127,9,3,0,0,3,2,2,2,7,23,6,24,12,17,17,76,2304,4238,5949,1928,377
Brunei Darussalam,Death,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,21,3,0
Bulgaria,Cases,0,0,359,1048,1007,2318,6431,4500,4281,30208,89642,55920,16352,27958,91388,61095,13894,3174,3043,28635,44370,98873,89884,49241
Bulgaria,Death,0,0,8,56,74,83,144,230,185,429,2535,3480,1452,1122,2877,3171,1263,349,150,627,1916,3036,4326,2437
Burkina Faso,Cases,0,0,246,377,208,78,155,230,660,449,356,3651,3873,1300,735,587,120,45,92,188,436,550,918,1632
Burkina Faso,Death,0,0,12,28,10,0,0,2,2,10,1,14,35,22,4,11,9,2,1,2,12,30,67,32
Burundi,Cases,0,0,0,13,27,107,217,58,63,75,99,129,810,574,593,1153,772,649,1786,5213,5394,1807,337,9475
Burundi,Death,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,2,1,1,4,0,0,0
Cabo Verde,Cases,0,0,5,108,300,730,1192,1400,2016,2670,1954,1032,2141,1254,1955,6084,6477,2018,1239,1492,2181,631,152,2368
Cabo Verde,Death,0,0,1,0,3,8,8,17,19,35,10,7,20,13,21,45,47,22,12,13,24,10,0,2
Cambodia,Cases,1,0,106,13,3,16,93,35,3,14,32,40,87,339,1620,10925,16304,18545,26200,15373,18618,5776,1590,353
Cambodia,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,118,355,773,495,399,462,147,72
Cameroon,Cases,0,0,139,1667,3827,6688,4663,1887,1429,955,2652,1790,2769,4132,11955,12078,7375,1929,1206,1361,8093,10196,4295,1303
Cameroon,Death,0,0,6,53,124,122,78,20,4,8,11,7,14,61,170,212,206,49,10,16,102,227,105,47
Canada,Cases,8,10,6294,42668,37685,12734,11552,11874,27361,71581,132811,195228,197811,86424,107519,226139,165651,35163,14841,63038,119603,91991,73307,312328
Canada,Death,0,0,66,2815,3914,1430,351,184,161,783,1866,3346,4329,1973,940,1191,1309,726,302,309,836,1133,678,583
Cayman Islands,Cases,0,0,12,61,68,55,4,2,6,29,34,52,60,48,61,43,39,33,28,37,140,815,5088,1744
Cayman Islands,Death,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6
Central African Republic,Cases,0,0,6,44,810,2602,860,92,118,37,47,45,18,8,164,1189,674,56,10,4145,75,208,129,455
Central African Republic,Death,0,0,0,0,1,45,12,2,0,0,1,0,0,0,4,16,10,0,0,2,0,0,1,0
Chad,Cases,0,0,5,45,686,88,69,76,180,283,199,389,1234,597,550,277,112,22,22,20,45,29,38,596
Chad,Death,0,0,0,2,62,9,1,2,8,13,3,3,14,22,24,6,3,1,0,0,0,0,1,6
Chile,Cases,0,1,2448,12397,78835,176311,74143,54307,49574,45580,40174,54207,113927,94309,163867,195453,179262,169428,58727,22559,14731,38613,66317,41931
Chile,Death,0,0,8,204,770,4521,3689,1787,1436,1417,1149,1089,1731,2024,2535,3112,2815,3189,2821,1475,518,275,586,750
China,Cases,9720,67568,2577,1742,185,639,2724,2261,639,832,1544,3096,4115,904,814,833,7524,6980,2063,2321,1561,1306,1736,3842
China,Death,213,2579,441,1322,2,3,18,61,16,0,4,38,34,18,7,6,98,520,140,47,8,5,1,2
Colombia,Cases,0,0,702,5151,20477,63533,181012,313894,210265,229080,236462,306446,451172,157986,141644,426895,521127,803915,553755,128967,47112,43200,64696,71255
Colombia,Death,0,0,10,255,575,2216,6231,9254,6277,5098,5266,6036,10375,5868,3419,9470,14517,17044,14192,4379,1336,964,1179,1393
Comoros,Cases,0,0,0,0,42,231,79,41,55,51,80,154,1953,845,125,206,43,54,13,37,76,92,242,2007
Comoros,Death,0,0,0,0,2,5,0,0,0,0,0,2,81,51,2,0,0,0,1,0,0,0,3,8
Congo,Cases,0,0,19,198,367,641,2047,603,1110,201,484,426,1687,933,861,997,980,938,491,402,656,3311,1300,1119
Congo,Death,0,0,0,7,10,20,15,22,11,3,2,6,17,11,7,9,9,12,12,5,10,81,76,13
Cook Islands,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Cases,0,0,314,375,309,2083,13531,22409,33168,32966,29382,27700,25162,10497,11562,28837,68058,46459,39045,52877,66932,29585,6727,4039
Costa Rica,Death,0,0,2,4,4,5,118,278,432,477,329,441,433,188,146,245,776,626,352,441,824,680,245,58
Côte d’Ivoire,Cases,0,0,169,1069,1524,6268,6764,1901,1721,904,618,919,5928,4232,10788,2109,1197,950,1699,4973,4469,1039,415,6422
Côte d’Ivoire,Death,0,0,0,14,19,33,34,13,5,4,7,5,15,38,50,42,15,8,15,101,180,71,9,8
Croatia,Cases,0,5,784,1195,170,479,2294,4984,6111,29954,77296,80004,21253,10191,26036,58544,23958,3555,3525,9715,29082,62239,133999,101473
Croatia,Death,0,0,6,61,34,4,37,39,89,251,1166,2074,1078,484,402,1093,933,179,48,72,294,558,1606,1594
Cuba,Cases,0,0,170,1281,524,295,256,1365,1499,1204,1346,3403,13811,22475,24433,30398,34459,45757,184728,261917,219570,73897,10349,3085
Cuba,Death,0,0,4,52,22,3,1,7,28,6,6,10,67,104,99,208,306,312,1409,2461,2075,794,64,18
Curaçao,Cases,0,0,11,5,4,4,4,26,296,574,1102,1815,344,134,3032,4265,90,60,1154,1755,1165,588,344,2798
Curaçao,Death,0,0,1,0,0,0,0,0,0,0,2,10,6,2,11,75,14,4,0,17,19,12,4,9
Cyprus,Cases,0,0,230,581,93,52,86,373,255,2462,6017,11782,8119,3548,10723,19369,6498,2974,25559,11642,4546,4060,9415,27306
Cyprus,Death,0,0,7,7,2,2,0,2,1,3,22,73,72,33,25,52,49,14,48,89,40,24,10,39
Czechia,Cases,0,0,3010,4278,1571,2549,4360,7805,43212,252917,184644,195816,253311,248398,292835,91262,28434,5223,5893,5426,12058,70474,384254,302839
Czechia,Death,0,0,28,199,76,28,33,44,232,2736,4879,3278,4734,3980,5935,2526,653,78,14,28,44,305,2325,2892
Democratic People's Republic of Korea,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Cases,0,0,98,391,2393,3890,1971,924,534,647,1396,4409,5229,3021,2229,1671,1798,9185,8726,4946,1791,559,721,17716
Democratic Republic of the Congo,Death,0,0,8,23,37,95,45,41,14,35,26,251,80,36,36,20,16,142,99,21,25,14,9,98
Denmark,Cases,0,2,2900,6165,2091,1039,1018,3128,11106,18575,32781,82973,31678,12389,18440,19796,28706,11137,23044,28217,12088,29153,101341,311787
Denmark,Death,0,0,95,344,112,29,9,8,25,70,118,471,813,208,52,63,27,19,14,34,74,57,183,308
Djibouti,Cases,0,0,31,1043,2105,1302,399,304,29,143,116,145,100,133,1724,3024,428,69,49,96,955,667,26,128
Djibouti,Death,0,0,0,2,20,29,4,2,1,0,0,0,1,0,6,73,11,1,1,1,10,14,5,3
Dominica,Cases,0,0,7,9,0,2,0,2,10,12,35,11,21,25,19,13,14,5,17,1422,1655,1302,993,783
Dominica,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,5,8
Dominican Republic,Cases,0,0,901,5543,9936,14531,35347,24586,17185,14123,16455,25591,41768,24949,12767,13487,25349,31578,16289,8112,7809,22519,25446,10017
Dominican Republic,Death,0,0,42,242,197,231,399,521,391,131,85,78,232,427,217,146,148,187,134,44,33,83,74,42
Ecuador,Cases,0,5,1957,22435,13637,16567,28028,28293,21982,30100,23925,18827,37267,31771,41170,51934,43979,29706,28040,13829,8037,7318,9598,18930
Ecuador,Death,0,0,8,875,2434,1144,1130,853,4756,1277,753,562,817,854,969,1705,1914,951,10031,613,518,211,254,419
Egypt,Cases,0,5,651,4558,17912,41769,25446,4649,4140,4187,7986,20733,27356,15878,19008,24400,34114,18381,2933,3900,15342,25560,26612,26150
Egypt,Death,0,0,41,334,521,1913,1821,594,493,328,370,926,1632,1323,1268,1283,1708,1052,349,203,558,1261,1761,1253
El Salvador,Cases,0,0,30,347,2000,3656,9792,9003,3252,4368,4960,7555,8029,4900,4565,4767,4048,5520,7854,7440,10288,9074,6381,1938
El Salvador,Death,0,0,0,9,35,118,265,265,122,128,136,213,278,224,152,110,121,127,232,280,304,388,152,47
Equatorial Guinea,Cases,0,0,14,301,728,0,1307,120,87,53,65,111,239,489,909,780,835,205,146,446,2888,1006,211,118
Equatorial Guinea,Death,0,0,0,1,10,0,29,0,0,0,2,1,0,5,11,10,6,3,2,1,22,20,6,0
Eritrea,Cases,0,0,15,24,0,152,76,39,56,88,114,675,815,712,432,386,390,1842,536,95,67,109,507,641
Eritrea,Death,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,4,9,11,3,4,3,15,15
Estonia,Cases,0,1,714,921,176,118,62,309,940,1400,7147,15682,15802,21025,39796,14766,7094,1389,2472,8271,13894,36983,27202,18235
Estonia,Death,0,0,3,46,11,0,0,1,0,9,39,111,185,167,304,250,86,11,3,20,64,174,260,129
Eswatini,Cases,0,0,9,82,183,510,1765,1913,885,427,493,2727,6308,1291,319,1121,133,489,6431,17075,2533,479,161,19176
Eswatini,Death,0,0,0,1,1,9,29,51,17,8,4,63,356,85,15,4,2,5,101,307,116,22,6,51
Ethiopia,Cases,0,0,23,104,932,4674,10769,33592,22453,20421,13365,13782,12757,20403,45449,49829,13903,4496,3987,26445,36188,19286,6179,43907
Ethiopia,Death,0,0,0,3,5,92,160,519,382,266,231,212,168,261,476,793,467,155,63,275,859,869,291,171
Falkland Islands (Malvinas),Cases,0,0,0,13,0,0,0,0,0,0,4,12,11,11,0,9,0,0,0,4,3,2,10,3
Falkland Islands (Malvinas),Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,Cases,0,0,168,17,0,0,38,186,52,27,7,102,44,4,3,2,54,57,206,17,160,904,1408,2138
Faroe Islands,Death,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,1
Fiji,Cases,0,0,5,13,0,0,9,1,4,2,4,7,6,4,8,49,284,3706,24242,16430,4237,1118,335,812
Fiji,Death,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,17,212,250,128,50,22,2
Finland,Cases,1,7,1663,3539,1552,273,198,717,1989,6037,8956,10305,8868,12277,19528,8538,5388,3143,11255,20112,13487,16697,28530,80962
Finland,Death,0,0,51,198,45,4,3,2,14,21,92,140,105,81,97,49,41,9,21,51,59,123,228,205
France,Cases,6,51,43877,75589,20115,10584,20263,111508,286080,910072,603769,367822,536384,458174,816358,731895,360218,95021,307101,562896,221197,138289,450567,2041468
France,Death,0,2,3015,20540,4375,984,376,320,1196,4517,15479,11633,11212,10185,8776,8476,4757,1424,624,1825,1650,785,1301,4307
French Guiana,Cases,0,0,43,79,310,3297,3724,1277,814,470,643,1841,2917,544,295,2132,4359,3379,2628,4611,5772,3516,1355,2385
French Guiana,Death,0,0,0,1,0,14,28,15,7,4,0,1,5,9,4,7,16,29,42,30,43,41,19,12
French Polynesia,Cases,0,0,36,21,2,2,0,465,1155,5410,6834,2479,1134,327,235,128,102,133,1041,20130,5003,360,773,106
French Polynesia,Death,0,0,0,0,0,0,0,0,7,22,44,39,17,8,2,0,1,0,7,274,197,15,0,0
Gabon,Cases,0,0,7,269,2337,2739,1958,1153,219,191,223,380,1177,3816,4575,3428,1290,555,400,435,3696,5370,1817,3731
Gabon,Death,0,0,1,2,12,25,7,4,1,1,4,5,4,15,31,20,11,7,5,1,18,53,40,9
Gambia,Cases,0,0,3,8,13,22,354,2299,616,87,64,55,290,601,708,428,95,86,1883,1736,236,32,22,181
Gambia,Death,0,0,1,0,0,1,6,87,16,7,4,1,4,20,14,10,5,2,32,106,19,2,2,1
Georgia,Cases,0,3,112,418,217,134,237,316,4682,32296,94857,88077,29701,12407,10843,28050,32506,20882,52476,127623,59315,104484,124255,84639
Georgia,Death,0,0,0,6,6,3,2,2,17,267,932,1202,650,316,258,325,643,512,493,1555,1464,1069,1965,1681
